Status,Power_range_sensor_1,Power_range_sensor_2,Power_range_sensor_3 ,Power_range_sensor_4,Pressure _sensor_1,Pressure _sensor_2,Pressure _sensor_3,Pressure _sensor_4,Vibration_sensor_1,Vibration_sensor_2,Vibration_sensor_3,Vibration_sensor_4
Abnormal,1.303662,1.5147,5.644068,2.325294,21.254964,0.600168,4.627944,4.900284,19.510356,9.886962,15.536742000000002,1.13934
Normal,6.0828,6.8088,7.2812,14.8975,12.1548,4.8863,5.403,12.2417,7.1729,12.4995,7.8191,36.0493
Abnormal,2.1414,7.7811,9.1443,5.8539,10.3794,3.6425,5.1152,4.6389,4.8281,1.9848,21.8327,14.3643
Normal,6.8655,7.0624,6.8463,14.4012,35.8891,7.397,5.4562,11.2383,1.3017,3.8957,10.4594,3.6557
Normal,4.7827,4.7452,6.7557,2.406,1.7654,1.5663,12.1851,1.6842,24.9714,2.0402,9.5547,43.2314
Normal,3.8992,11.6318,12.7194,8.3578,4.4781,2.9847,11.0996,0.3237,9.01,24.8421,28.7009,6.4621
Abnormal,0.218484,6.055944,6.832878,2.85753,17.026248000000002,0.60843,8.841972,1.181466,0.10353,19.858788,0.4896,8.5782
Normal,1.7798,6.2613,9.4235,7.7005,0.8232,0.4323,2.9084,4.4632,0.877,17.6415,8.2253,7.4776
Normal,3.2346,4.9164,6.5872,10.1852,15.0311,2.4056,1.2508,9.435,1.0524,4.0896,25.3776,29.1625
Normal,2.9846,6.4691,10.6348,6.3794,5.7029999999999985,0.0578,5.8943,3.2633,2.5941,7.4591,11.7795,11.6779
Normal,7.3004,8.9923,11.7078,14.7482,10.1463,6.4642,7.0745,12.9284,6.6006,14.752,47.081,6.4713
Normal,5.3146,5.9024,9.1544,6.5067,11.4903,0.0405,2.6009,3.3893,8.7146,1.754,22.4881,1.0893
Normal,8.4036,5.8218,6.8610000000000015,10.5231,36.9305,2.8714,2.7477,4.2193,6.4159,8.7608,7.7453,3.4064
Normal,6.7447,8.9282,10.6796,15.3195,21.1655,4.5291,7.0988,13.422,14.3551,29.6333,48.0688,2.271
Normal,3.8406,4.6509,8.3322,10.1816,54.2675,4.8955,1.9467,8.8328,11.0687,13.275,7.4868,7.2929
Normal,4.6051,6.4316,10.5515,11.4706,4.4037,0.9641,2.2403,4.8042,3.6926,10.6348,37.4248,5.1881
Normal,7.76,8.5263,11.0129,16.0858,22.6185,5.329,7.4363,14.4577,6.7021,23.1528,41.5328,3.8219
Normal,8.9108,6.438,10.5368,15.3268,23.0053,6.1162,6.7405,12.4278,1.5786,4.0804,25.8115,24.3344
Normal,3.7765,8.2022,8.2141,2.785,16.5386,2.6009,12.2463,0.4335,12.3426,6.3052,6.3513,11.1517
Normal,4.3314,8.6536,10.7593,2.1698,0.2777,2.3062,10.5737,1.5213,6.5729,9.1485,16.5707,25.7007
Normal,4.259,8.8998,10.4819,0.5969,4.3144,2.616,11.6672,0.9109,8.2899,4.0804,11.6595,24.2144
Normal,3.9001,7.0248,10.9726,10.8966,1.0315,0.8034,2.7304,6.5994,8.0407,1.0616,43.4622,4.745
Normal,4.9384,4.1675,5.6369,2.5845,3.8532,1.5918,9.6893,2.6529,20.3648,0.9509,9.9516,22.4142
Normal,2.5735,3.5349,8.0896,4.4824,0.8381,0.6312,1.7316,1.4126,13.6166,16.9953,13.7181,16.5799
Normal,1.7514,5.3421,7.3499,5.9564,22.7177,1.8565,2.305,0.3988,9.7393,1.1355,3.2957,2.9726
Normal,2.2897,6.2558,10.8957,6.9415,4.2103,0.1514,2.8529,4.2228,0.9324,12.7303,18.3708,0.5354
Normal,7.478,7.4844,5.8868,12.9163,4.5029,3.1546,5.6723,7.8779,10.5978,8.1145,8.4377,14.1889
Normal,3.4991,9.5517,12.8,10.7144,12.3135,2.5489,6.2168,8.0444,14.8813,2.4833,31.6181,0.2493
Normal,4.5767,7.3654,8.3011,2.1002,12.3978,1.608,4.0482,2.0449,9.8962,6.6560000000000015,14.0228,14.512
Normal,1.8668,6.5717,6.8683,6.3995,13.4491,1.9293,2.7593,3.2263,20.4295,1.9017,7.0714,3.8219
Normal,7.6144,7.8461,9.2633,13.363,4.7062,5.6735,7.4988,13.4624,0.5816,3.0649,1.2278,12.1026
Normal,6.7676,8.0484,11.2482,13.6826,1.815,6.5324,5.2296,12.5619,14.4105,14.5951,41.7544,12.4257
Normal,7.2775,6.589,9.559,12.8375,5.827000000000001,7.5716,7.545,13.3514,5.3912,13.5058,0.2862,8.6315
